               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.8638,              2.9871,              1.7465,              0.5048,             0.37316,             0.39803,              0.1787,              1.7096,              1.8839,              1.7146,            0.070196,           0.0033115,           0.0033115
                   1,              1.7368,              2.0326,               1.622,             0.47885,             0.40777,             0.42445,             0.19425,              1.8114,              1.8133,               1.762,            0.039933,           0.0063817,           0.0063817
                   2,              1.8742,              2.1881,              1.7124,             0.34575,             0.26978,             0.20655,            0.080498,               2.201,              3.9268,              2.2266,           0.0094058,           0.0091879,           0.0091879
                   3,               1.966,              2.2805,              1.8119,             0.31814,             0.28152,              0.1838,             0.06912,               2.065,              2.8034,              2.1001,            0.008812,            0.008812,            0.008812
                   4,                1.99,               2.326,              1.8505,             0.31595,             0.22485,             0.19106,             0.07039,              2.2021,              3.6808,              2.2125,            0.008812,            0.008812,            0.008812
                   5,              1.9518,              2.2542,              1.8178,             0.34426,             0.34432,             0.26135,            0.098933,              2.0226,              2.5646,              2.0236,            0.008416,            0.008416,            0.008416
                   6,              1.9599,              2.2375,              1.8088,             0.38718,             0.34836,             0.34447,             0.13971,              1.9931,               2.491,              1.9925,             0.00802,             0.00802,             0.00802
                   7,              1.9081,              2.1717,              1.7772,             0.50558,             0.40561,              0.4113,             0.17644,              1.8202,              2.2041,              1.8529,            0.007624,            0.007624,            0.007624
                   8,              1.8483,              2.1179,              1.7542,               0.448,             0.40724,              0.3929,             0.17203,              1.8741,              2.2472,              1.8855,            0.007228,            0.007228,            0.007228
                   9,              1.8538,              2.0778,              1.7428,             0.49854,              0.4192,             0.41857,             0.18506,              1.8506,              1.8475,              1.8568,            0.006832,            0.006832,            0.006832
                  10,                1.86,              2.1668,              1.8909,             0.44932,             0.38275,             0.36768,             0.14808,              1.9156,              2.1686,               1.941,            0.006436,            0.006436,            0.006436
                  11,              1.8301,              2.1357,              1.8578,             0.47091,             0.39186,             0.38679,             0.16561,              1.8271,              1.9319,              1.8256,             0.00604,             0.00604,             0.00604
                  12,               1.836,              2.0912,              1.8473,             0.38945,             0.44475,              0.3934,             0.17275,              1.8302,              1.8888,              1.8938,            0.005644,            0.005644,            0.005644
                  13,              1.7955,              2.0626,              1.8351,             0.47109,             0.41348,              0.4178,             0.19994,              1.7824,              1.8189,              1.7911,            0.005248,            0.005248,            0.005248
                  14,              1.7728,              1.9915,              1.7841,             0.55085,             0.44035,              0.4643,              0.2275,              1.7078,              1.7345,               1.763,            0.004852,            0.004852,            0.004852
                  15,              1.7642,              1.9287,              1.7827,             0.54464,             0.44038,             0.48317,             0.23451,              1.7563,              1.7309,              1.7764,            0.004456,            0.004456,            0.004456
                  16,              1.7197,              1.8835,              1.7411,              0.4917,             0.46178,             0.44908,             0.21425,              1.6977,               1.785,              1.7226,             0.00406,             0.00406,             0.00406
                  17,              1.6782,              1.8265,              1.7138,             0.54385,             0.49167,             0.50575,             0.25034,              1.6652,              1.5943,              1.6743,            0.003664,            0.003664,            0.003664
                  18,              1.6818,               1.812,              1.7144,             0.55398,             0.46431,             0.48316,             0.23571,              1.6913,              1.6702,              1.7393,            0.003268,            0.003268,            0.003268
                  19,              1.6662,              1.7504,              1.6913,             0.61256,             0.49026,             0.53128,             0.26201,              1.6824,               1.528,              1.7129,            0.002872,            0.002872,            0.002872
                  20,              1.6477,              1.7179,              1.6972,             0.59592,             0.49339,             0.53511,             0.26774,              1.5979,              1.5083,              1.6587,            0.002476,            0.002476,            0.002476
                  21,               1.622,              1.6992,              1.6685,             0.57942,             0.52198,             0.54344,             0.27132,              1.6078,               1.517,               1.665,             0.00208,             0.00208,             0.00208
                  22,              1.5853,              1.6655,              1.6394,             0.60449,             0.51894,             0.55934,             0.27778,               1.574,              1.4718,              1.6376,            0.001684,            0.001684,            0.001684
                  23,              1.5728,              1.6146,              1.6317,             0.62381,             0.50732,             0.56785,             0.28274,              1.5991,              1.4538,              1.6447,            0.001288,            0.001288,            0.001288
                  24,              1.5517,              1.5819,               1.617,             0.64642,             0.52116,              0.5809,             0.30107,              1.5471,              1.4129,              1.6235,            0.000892,            0.000892,            0.000892
